Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
"CBS Consolidated, Inc.",NE,Business Associate,21856,9/5/2017,Hacking/IT Incident,Network Server
"The Neurology Foundation, Inc.",RI,Healthcare Provider,12861,9/1/2017,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films"
Aetna Inc.,CT,Health Plan,11887,8/29/2017,Unauthorized Access/Disclosure,Paper/Films
"Medical Oncology Hematology Consultants,PA",DE,Healthcare Provider,19203,8/29/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Kaleida Health,NY,Healthcare Provider,744,8/25/2017,Hacking/IT Incident,Email
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Healthcare Provider,106008,8/24/2017,Hacking/IT Incident,Network Server
Feinstein and Roe Mds Inc.,CA,Healthcare Provider,6642,8/21/2017,Hacking/IT Incident,Network Server
"Centura Health, Mercy Family Medicine",CO,Healthcare Provider,2069,8/16/2017,Loss,Other Portable Electronic Device
Salina Family Healthcare Center,KS,Healthcare Provider,77337,8/16/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
MJHS Home Care,NY,Healthcare Provider,6000,8/11/2017,Hacking/IT Incident,Email
Silver Cross Hospital,IL,Healthcare Provider,8862,8/11/2017,Unauthorized Access/Disclosure,Network Server
"MDeverywhere, Inc.",TX,Business Associate,1396,8/10/2017,Unauthorized Access/Disclosure,Other
Surgical Dermatology Group,AL,Healthcare Provider,14000,8/5/2017,Hacking/IT Incident,Network Server
"Elderplan, Inc. ",NY,Health Plan,22000,8/5/2017,Hacking/IT Incident,Email
Spectrum Health System,MI,Healthcare Provider,902,8/3/2017,Theft,Other Portable Electronic Device
Bluetail Medical Group,MO,Healthcare Provider,11000,8/2/2017,Hacking/IT Incident,Desktop Computer
Daniel Drake Center for Post-Acute Care,OH,Healthcare Provider,4721,8/1/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Northwest Rheumatology,AZ,Healthcare Provider,7468,7/31/2017,Hacking/IT Incident,Network Server
Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,7/27/2017,Hacking/IT Incident,Network Server
"Anthem, Inc.",IN,Health Plan,18580,7/24/2017,Unauthorized Access/Disclosure,Email
The University of Vermont Medical Center,VT,Healthcare Provider,2300,7/21/2017,Hacking/IT Incident,Email
Performance Physical Therapy and Wellness,CT,Healthcare Provider,571,7/21/2017,Hacking/IT Incident,Email
Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176,7/21/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Kaleida Health,NY,Healthcare Provider,2789,7/21/2017,Hacking/IT Incident,Email
Metropolitan Life Insurance Company,NY,Health Plan,4220,7/19/2017,Hacking/IT Incident,Other
"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,7/15/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Detroit Medical Center,MI,Healthcare Provider,1529,7/13/2017,Theft,"Desktop Computer, Paper/Films"
Professional Counseling & Medical Associates,TN,Healthcare Provider,2500,7/13/2017,Hacking/IT Incident,Electronic Medical Record
Rosalind Franklin University of Medicine ,IL,Healthcare Provider,859,7/9/2017,Hacking/IT Incident,Email
"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,7/7/2017,Hacking/IT Incident,Network Server
The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000,7/5/2017,Unauthorized Access/Disclosure,Email
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,7/3/2017,Hacking/IT Incident,Network Server
Enterprise Services LLC,CO,Business Associate,822,6/30/2017,Unauthorized Access/Disclosure,"Network Server, Other"
Community Link Inc,WI,Health Plan,5524,6/30/2017,Hacking/IT Incident,Email
California Pacific Orthopaedics and Sports Medicine,CA,Healthcare Provider,2263,6/30/2017,Theft,"Laptop, Paper/Films"
FastHealth Corporation,AL,Business Associate,9289,6/29/2017,Hacking/IT Incident,Network Server
Enterprise Services LLC,IN,Business Associate,56075,6/27/2017,Unauthorized Access/Disclosure,"Network Server, Other"
GI Care for Kids Endoscopy Center,GA,Healthcare Provider,1700,6/27/2017,Hacking/IT Incident,Network Server
Henry Ford Health System,MI,Healthcare Provider,596,6/26/2017,Theft,Paper/Films
Southern Illinois Hospital Services,IL,Healthcare Provider,613,6/23/2017,Unauthorized Access/Disclosure,Network Server
Pharma Medica Research Inc.,MO,Healthcare Provider,2718,6/23/2017,Unauthorized Access/Disclosure,Network Server
"Adams Industries, Inc.",NE,Health Plan,647,6/21/2017,Hacking/IT Incident,Network Server
Aetna Inc.,CT,Health Plan,5002,6/20/2017,Unauthorized Access/Disclosure,Network Server
"Airway Oxygen, Inc.",MI,Healthcare Provider,500000,6/16/2017,Hacking/IT Incident,Network Server
"Cove Family and Sports Medicine, LLC",AL,Healthcare Provider,4300,6/12/2017,Hacking/IT Incident,Network Server
Southwest Community Health Center,CT,Healthcare Provider,6000,6/7/2017,Theft,"Desktop Computer, Laptop"
"N. Fred Eaglstein, D.O. d/b/a Dermatology and Laser Center",FL,Healthcare Provider,2000,5/30/2017,Unauthorized Access/Disclosure,Electronic Medical Record
UW Health,WI,Healthcare Provider,2036,5/25/2017,Hacking/IT Incident,Email
"D. Andrew Loomis MD, Paula Schulze MD,Tammara Stefanelli MD, Christen Vu DO, Anja Crider MD",WA,Healthcare Provider,9000,5/24/2017,Hacking/IT Incident,Network Server
New York City Health and Hospitals Corporation - Coney Island Hospital,NY,Healthcare Provider,3494,5/9/2017,Unauthorized Access/Disclosure,"Other, Paper/Films"
Blue Cross and Blue Shield of Kansas City,MO,Health Plan,725,5/5/2017,Unauthorized Access/Disclosure,Other
Michagan Facial Aesthetic Surgeons d/b/a University Physician Group,MI,Healthcare Provider,3467,4/28/2017,Theft,Laptop
Spine Specialist,NJ,Healthcare Provider,600,4/28/2017,Theft,Laptop
Atlantic Digestive Specialists  ,NH,Healthcare Provider,2081,4/21/2017,Hacking/IT Incident,Network Server
Lifespan Corporation,RI,Healthcare Provider,20431,4/21/2017,Theft,Laptop
Humana Inc [case # HU17001CC],KY,Health Plan,3831,4/18/2017,Hacking/IT Incident,Network Server
"BioReference Laboratories, Inc.",NJ,Healthcare Provider,1772,4/14/2017,Improper Disposal,Paper/Films
Ashland Women's Health,KY,Healthcare Provider,19727,4/4/2017,Hacking/IT Incident,Network Server
Memorial Healthcare,MI,Healthcare Provider,685,4/3/2017,Unauthorized Access/Disclosure,Paper/Films
"Apex EDI, Inc.",UT,Business Associate,1132,3/31/2017,Hacking/IT Incident,Network Server
"Skin Cancer Specialists, P.C.",GA,Healthcare Provider,3365,3/31/2017,Hacking/IT Incident,Network Server
Washington University School of Medicine,MO,Healthcare Provider,80270,3/25/2017,Hacking/IT Incident,Email
Metropolitan Urology Group,WI,Business Associate,17634,3/10/2017,Hacking/IT Incident,Network Server
St. Louis Children's Hospital,MO,Healthcare Provider,643,3/9/2017,Unauthorized Access/Disclosure,Email
"Primary Care Specialists, Inc.",TN,Healthcare Provider,65000,3/9/2017,Hacking/IT Incident,Network Server
American Home Patient,TN,Healthcare Provider,13861,3/6/2017,Theft,Other Portable Electronic Device
VisionQuest Eyecare,IN,Healthcare Provider,85995,3/2/2017,Hacking/IT Incident,Network Server
VA St. Louis Health Care System,MO,Healthcare Provider,724,3/1/2017,Unauthorized Access/Disclosure,Paper/Films
North Carolina Department of Health and Human Services,NC,Health Plan,12731,2/23/2017,Unauthorized Access/Disclosure,Email
Emory Healthcare ,GA,Healthcare Provider,79930,2/21/2017,Hacking/IT Incident,Network Server
Chadron Community Hospital & Health Services,NE,Healthcare Provider,702,2/19/2017,Unauthorized Access/Disclosure,Electronic Medical Record
The Affiliated Sante Group,MD,Healthcare Provider,550,1/31/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Vertiv Co. Health & Welfare Plan,OH,Health Plan,955,1/31/2017,Unauthorized Access/Disclosure,Paper/Films
Shiel Sexton,IN,Health Plan,710,1/27/2017,Unauthorized Access/Disclosure,Other
Princeton Pain Management,NJ,Healthcare Provider,4668,1/27/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
Sentara Healthcare,VA,Healthcare Provider,5454,1/16/2017,Hacking/IT Incident,Network Server
St. Luke's Medical Center,ND,Healthcare Provider,600,1/16/2017,Hacking/IT Incident,Network Server
"University of Maryland Orthopaedic Associates, P.A.",MD,Healthcare Provider,1320,1/13/2017,Hacking/IT Incident,Email
