Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Dr. Robert Carpenter,TX,Healthcare Provider,3000,10/7/2018,Hacking/IT Incident,Network Server
Dr. Amy Woodruff,TX,Healthcare Provider,10862,10/7/2018,Hacking/IT Incident,Network Server
"Northwest Surgical Specialists, P.C. ",WA,Healthcare Provider,2050,10/5/2018,Hacking/IT Incident,Email
Gold Coast Health Plan,CA,Business Associate,37005,10/5/2018,Hacking/IT Incident,Email
National Ambulatory Hernia Institute,CA,Healthcare Provider,15974,10/5/2018,Hacking/IT Incident,Network Server
"Health First, Inc",FL,Healthcare Provider,42000,10/5/2018,Hacking/IT Incident,Email
University Of Missouri Health,MO,Healthcare Provider,706,10/5/2018,Unauthorized Access/Disclosure,Paper/Films
"Tillamook Chiropractic, PC",OR,Healthcare Provider,4058,10/3/2018,Hacking/IT Incident,"Desktop Computer, Network Server"
New Mexico Retiree Health Care Authority,NM,Health Plan,586,10/2/2018,Unauthorized Access/Disclosure,Paper/Films
"Reichert Prosthetics & Orthotics, LLC",WI,Healthcare Provider,3380,9/28/2018,Theft,Other Portable Electronic Device
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan",IN,Health Plan,19320,9/28/2018,Hacking/IT Incident,Email
University of Michigan/Michigan Medicine,MI,Healthcare Provider,3624,9/28/2018,Unauthorized Access/Disclosure,Paper/Films
Gentle Dentistry Group PC,NJ,Healthcare Provider,831,9/26/2018,Unauthorized Access/Disclosure,Email
J&J MEDICAL SERVICE NETWORK INC,TX,Business Associate,2500,9/25/2018,Hacking/IT Incident,Network Server
Ransom Memorial Hospital ,KS,Healthcare Provider,14329,9/25/2018,Hacking/IT Incident,Email
"Personal Assistance Services of Colorado, LLC",CO,Healthcare Provider,1839,9/20/2018,Hacking/IT Incident,Email
"Pulse Systems, Inc.",KS,Business Associate,722,9/19/2018,Unauthorized Access/Disclosure,Paper/Films
The University of Texas Health Science Center at Houston,TX,Healthcare Provider,500,9/18/2018,Theft,Paper/Films
Southwest Oregon IPA,OR,Health Plan,1449,9/18/2018,Unauthorized Access/Disclosure,Paper/Films
"Independence Blue Cross, LLC",PA,Business Associate,16762,9/17/2018,Unauthorized Access/Disclosure,Other
"Guardant Health, Inc.",CA,Healthcare Provider,1112,9/14/2018,Hacking/IT Incident,Email
"WellCare Health Plans, Inc.",FL,Health Plan,26942,9/14/2018,Unauthorized Access/Disclosure,Paper/Films
Blue Cross & Blue Shield of Rhode Island,RI,Health Plan,1567,9/13/2018,Unauthorized Access/Disclosure,Paper/Films
Leominster Dermatology LLP,MA,Healthcare Provider,500,9/13/2018,Unauthorized Access/Disclosure,Paper/Films
"Total Diagnostix II, LLC",TX,Healthcare Provider,855,9/12/2018,Unauthorized Access/Disclosure,Network Server
"Simonian Sports Medicine Clinic, A Medical Corporation",CA,Healthcare Provider,1541,9/10/2018,Unauthorized Access/Disclosure,Network Server
Ohio Living,OH,Healthcare Provider,6510,9/7/2018,Hacking/IT Incident,Email
TMC HealthCare,AZ,Healthcare Provider,1776,9/7/2018,Unauthorized Access/Disclosure,Paper/Films
"Rockdale Blackhawk, LLC d/b/a Little River Healthcare",TX,Healthcare Provider,1494,9/7/2018,Unauthorized Access/Disclosure,"Electronic Medical Record, Other"
Boston Health Care for the Homeless Program,MA,Healthcare Provider,861,9/7/2018,Unauthorized Access/Disclosure,Paper/Films
"Catholic Charities Neighborhood Services, Inc.",NY,Healthcare Provider,565,9/7/2018,Hacking/IT Incident,Email
J.A. Stokes Ltd.,NV,Healthcare Provider,3200,9/5/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
Nebraska Department of Health and Human Services,NE,Health Plan,516,9/4/2018,Unauthorized Access/Disclosure,Paper/Films
Reliable Respiratory,MA,Healthcare Provider,21311,9/1/2018,Hacking/IT Incident,Email
Port City Operating Company doing business as St. Joseph's Medical Center,CA,Healthcare Provider,4984,8/31/2018,Loss,Other Portable Electronic Device
Carpenters Benefit Funds of Philadelphia,PA,Health Plan,20015,8/31/2018,Hacking/IT Incident,Email
Hopebridge,IN,Healthcare Provider,1411,8/31/2018,Hacking/IT Incident,Email
United Methodist Homes,NY,Healthcare Provider,843,8/31/2018,Unauthorized Access/Disclosure,Email
"David G. Simon, DMD, PA, d/b/a Simon Orthodontics",FL,Healthcare Provider,15129,8/31/2018,Hacking/IT Incident,Network Server
Family Tree Relief Nursery,OR,Healthcare Provider,2000,8/30/2018,Hacking/IT Incident,Network Server
"Greigh I. Hirata M.D. Inc, dba. Fetal Diagnostic Institute of the Pacific",HI,Healthcare Provider,40800,8/30/2018,Hacking/IT Incident,Network Server
First coast podiatric surgery and wound,FL,Business Associate,500,8/27/2018,Unauthorized Access/Disclosure,Network Server
Family Medical Group Northeast PC,OR,Healthcare Provider,2077,8/22/2018,Unauthorized Access/Disclosure,Desktop Computer
"Health Management Concepts, Inc.",FL,Business Associate,502416,8/22/2018,Hacking/IT Incident,Network Server
Legacy Health,OR,Healthcare Provider,38000,8/20/2018,Hacking/IT Incident,Email
"Acadiana Computer Systems, Inc.",LA,Business Associate,31151,8/17/2018,Hacking/IT Incident,Email
"Chapman & Chapman, Inc.",OH,Business Associate,2032,8/17/2018,Hacking/IT Incident,Email
"Monroe Operations, LLC d/b/a Newport Academy and Center for Families",TN,Healthcare Provider,1165,8/17/2018,Hacking/IT Incident,Email
"Authentic Recovery Center, LLC",CA,Healthcare Provider,1790,8/17/2018,Hacking/IT Incident,Email
"Wardell Orthopaedics, P.C.",VA,Healthcare Provider,552,8/16/2018,Unauthorized Access/Disclosure,Other
University Medical Center Physicians,TX,Healthcare Provider,18500,8/16/2018,Hacking/IT Incident,Email
"AU Medical Center, INC",GA,Healthcare Provider,417000,8/16/2018,Hacking/IT Incident,Email
Gordon Schanzlin New Vision Institute,CA,Healthcare Provider,1130,8/10/2018,Theft,Paper/Films
Wells Pharmacy Network,FL,Healthcare Provider,10000,8/10/2018,Unauthorized Access/Disclosure,"Email, Laptop, Other Portable Electronic Device"
"InterAct of Michigan, Inc.",MI,Healthcare Provider,1290,8/7/2018,Hacking/IT Incident,Email
"CoreLink Administrative Solutions, LLC",ND,Business Associate,1813,8/6/2018,Hacking/IT Incident,Email
"Central Colorado Dermatology, PC",CO,Healthcare Provider,4065,8/3/2018,Hacking/IT Incident,Network Server
"CoreSource, Inc.",IL,Business Associate,769,8/3/2018,Unauthorized Access/Disclosure,Other
"Don White, RN, DC, PC dba Canyon Rd Chiropractic and Massage",OR,Healthcare Provider,2900,8/3/2018,Hacking/IT Incident,Network Server
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,900,8/3/2018,Unauthorized Access/Disclosure,Paper/Films
Lane County Health & Human Services,OR,Healthcare Provider,715,8/1/2018,Loss,Paper/Films
Southwestern Eye Center,AZ,Healthcare Provider,667,8/1/2018,Unauthorized Access/Disclosure,Paper/Films
SSM Health St. Mary's Hospital - Jefferson City,MO,Healthcare Provider,301000,7/30/2018,Improper Disposal,Paper/Films
Iowa Health System d/b/a UnityPoint Health ,IA,Business Associate,1421107,7/30/2018,Hacking/IT Incident,Email
Confluence Health,WA,Healthcare Provider,33821,7/27/2018,Hacking/IT Incident,Email
"Ambercare Corporation, Inc.",NM,Healthcare Provider,2284,7/27/2018,Theft,Laptop
"Longwood Orthopedic Associates, Inc.",MA,Healthcare Provider,10000,7/27/2018,Unauthorized Access/Disclosure,Email
Institute on Aging,CA,Healthcare Provider,3907,7/20/2018,Hacking/IT Incident,Email
Boys Town National Research Hospital,NE,Healthcare Provider,105309,7/20/2018,Hacking/IT Incident,Email
NorthStar Anesthesia,TX,Healthcare Provider,19807,7/20/2018,Hacking/IT Incident,Email
"MedSpring of Texas, PA",TX,Healthcare Provider,13034,7/20/2018,Hacking/IT Incident,Email
Orlando Orthopaedic Center,FL,Healthcare Provider,19101,7/20/2018,Unauthorized Access/Disclosure,Network Server
Fairbanks North Star Borough,AK,Healthcare Provider,6346,7/19/2018,Hacking/IT Incident,Network Server
Family Physicians of Old Town Fairfax PC  ,VA,Healthcare Provider,500,7/19/2018,Hacking/IT Incident,Network Server
"Ruben U. Carvajal, MD",NY,Healthcare Provider,3775,7/17/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record"
Sunspire Health ,NJ,Healthcare Provider,6737,7/16/2018,Hacking/IT Incident,Email
PA Dept. of Human Services,PA,Healthcare Provider,2130,7/16/2018,Unauthorized Access/Disclosure,Other
Rocky Mountain Health Care Services,CO,Healthcare Provider,1087,7/13/2018,Theft,Laptop
Alive Hospice,TN,Healthcare Provider,1868,7/13/2018,Hacking/IT Incident,Email
Central New York Cardiology,NY,Healthcare Provider,824,7/13/2018,Loss,Paper/Films
Billings Clinic,MT,Healthcare Provider,8435,7/13/2018,Hacking/IT Incident,Email
"New England Dermatology, P.C.",MA,Healthcare Provider,16154,7/13/2018,Improper Disposal,Paper/Films
Charles Cole Memorial Hospital,PA,Healthcare Provider,790,7/13/2018,Hacking/IT Incident,Email
"Midwestern Regional Medical Center, Inc.",IL,Healthcare Provider,2675,7/12/2018,Unauthorized Access/Disclosure,Other
"Blue Springs Family Care, P.C.",MO,Healthcare Provider,44979,7/10/2018,Hacking/IT Incident,"Electronic Medical Record, Network Server"
MedEvolve,AR,Business Associate,205434,7/10/2018,Unauthorized Access/Disclosure,Network Server
GOLDEN HEART ADMINISTRATIVE PROFESSIONALS,AK,Business Associate,44600,7/9/2018,Hacking/IT Incident,Network Server
"The Terteling Co., Inc., Group Benefit Plan ",ID,Health Plan,4824,7/6/2018,Hacking/IT Incident,Email
Overlake arthritis and Osteoporosis Center,WA,Healthcare Provider,627,7/6/2018,Hacking/IT Incident,Desktop Computer
VCU Health System ,VA,Healthcare Provider,4686,7/6/2018,Unauthorized Access/Disclosure,Electronic Medical Record
Health Alliance Plan,MI,Health Plan,2814,7/5/2018,Hacking/IT Incident,"Desktop Computer, Email"
Home for Little Wanderers,MA,Healthcare Provider,861,7/3/2018,Unauthorized Access/Disclosure,Paper/Films
"Physician Associates, LLC",FL,Healthcare Provider,710,7/3/2018,Unauthorized Access/Disclosure,Other
Advanced Orthopedic Center,FL,Healthcare Provider,1647,7/2/2018,Hacking/IT Incident,Network Server
Planned Parenthood of the Heartland,IA,Healthcare Provider,515,6/29/2018,Unauthorized Access/Disclosure,Paper/Films
Hunt Memorial Hospital District,TX,Healthcare Provider,1887,6/29/2018,Unauthorized Access/Disclosure,Email
Arkansas Children's Hospital,AR,Healthcare Provider,4521,6/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record
State of Alaska Department of Health and Social Services,AK,Health Plan,501,6/28/2018,Hacking/IT Incident,"Desktop Computer, Email"
"Associated Dermatology & Skin Cancer Clinic of Helena, PC",MT,Healthcare Provider,1254,6/28/2018,Theft,Paper/Films
Children's Mercy Hospital,MO,Healthcare Provider,1463,6/27/2018,Unauthorized Access/Disclosure,Other
Community Cancer Center,IL,Healthcare Provider,500,6/26/2018,Hacking/IT Incident,"Desktop Computer, Network Server"
San Francisco Department of Public Health,CA,Healthcare Provider,900,6/25/2018,Unauthorized Access/Disclosure,Network Server
University of Michigan/Michigan Medicine,MI,Healthcare Provider,871,6/25/2018,Theft,Laptop
"Progressions Behavioral Health Services, Inc.",PA,Healthcare Provider,1303,6/25/2018,Hacking/IT Incident,Email
"InfuSystem, Inc.",MI,Healthcare Provider,3882,6/22/2018,Hacking/IT Incident,Email
VA Long Beach Healthcare System,CA,Healthcare Provider,1030,6/22/2018,Unauthorized Access/Disclosure,Paper/Films
Family Healthcare of Lake Norman,NC,Healthcare Provider,500,6/19/2018,Hacking/IT Incident,Network Server
"Peter J Parker, M.D., Inc.",CA,Healthcare Provider,628,6/19/2018,Unauthorized Access/Disclosure,Electronic Medical Record
"David S. Ng, O.D.",CA,Healthcare Provider,758,6/16/2018,Theft,Other Portable Electronic Device
New Jersey Department of Human Services,NJ,Health Plan,1263,6/15/2018,Unauthorized Access/Disclosure,Paper/Films
CHRISTUS Spohn Hospital Corpus Christi-Shoreline,TX,Healthcare Provider,1805,6/15/2018,Theft,Paper/Films
Dean Health Plan,WI,Health Plan,1311,6/15/2018,Unauthorized Access/Disclosure,Paper/Films
Gwenn S Robinson MD,NM,Healthcare Provider,2500,6/14/2018,Hacking/IT Incident,Desktop Computer
"Med Associates, Inc.",NY,Business Associate,276057,6/14/2018,Hacking/IT Incident,Desktop Computer
Black River Medical Center,MO,Healthcare Provider,13443,6/13/2018,Hacking/IT Incident,Email
"WellCare Health Plans, Inc.",FL,Health Plan,1101,6/13/2018,Unauthorized Access/Disclosure,Other
"HealthEquity, Inc.",UT,Business Associate,16000,6/12/2018,Hacking/IT Incident,Email
"Denise M. Bowden, LAc",CA,Healthcare Provider,538,6/11/2018,Theft,Desktop Computer
Healthland Inc.,MN,Business Associate,614,6/10/2018,Unauthorized Access/Disclosure,Other
New England Baptist Health,MA,Healthcare Provider,7582,6/8/2018,Unauthorized Access/Disclosure,Email
Massac County Surgery Center dba Orthopaedic Institute Surgery Center,IL,Healthcare Provider,2000,6/8/2018,Hacking/IT Incident,Email
"RISE Wisconsin, Inc.",WI,Healthcare Provider,3731,6/7/2018,Hacking/IT Incident,Network Server
Benefit Outsourcing Solutions,MI,Business Associate,1144,6/7/2018,Unauthorized Access/Disclosure,Other
Terros Incorporated,AZ,Healthcare Provider,1618,6/5/2018,Hacking/IT Incident,Email
University of Utah Health,UT,Healthcare Provider,607,6/2/2018,Theft,"Laptop, Other Portable Electronic Device"
Capitol Anesthesiology Association,TX,Healthcare Provider,2231,6/1/2018,Hacking/IT Incident,Network Server
Florida Agency for Persons with Disabilities,FL,Health Plan,1951,6/1/2018,Unauthorized Access/Disclosure,Email
SimplyWell,TX,Business Associate,597,6/1/2018,Unauthorized Access/Disclosure,Other
Dignity Health,CA,Healthcare Provider,55947,5/31/2018,Unauthorized Access/Disclosure,Email
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,1266,5/31/2018,Unauthorized Access/Disclosure,Email
Aflac,GA,Health Plan,10396,5/29/2018,Hacking/IT Incident,Email
The Trustees of Purdue University,IN,Healthcare Provider,1711,5/25/2018,Hacking/IT Incident,Desktop Computer
Aultman Hospital,OH,Healthcare Provider,42625,5/25/2018,Hacking/IT Incident,Email
BioIQ Inc.,CA,Business Associate,4059,5/25/2018,Unauthorized Access/Disclosure,Email
MSK Group,TN,Healthcare Provider,566236,5/22/2018,Hacking/IT Incident,Network Server
"Muir Medical Group, IPA, Inc.",CA,Business Associate,5485,5/22/2018,Unauthorized Access/Disclosure,Network Server
"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale",AZ,Healthcare Provider,1765,5/21/2018,Theft,Paper/Films
Holland Eye Surgery and Laser Center,MI,Healthcare Provider,42200,5/18/2018,Hacking/IT Incident,Desktop Computer
Associates in Psychiatry and Psychology,MN,Healthcare Provider,6546,5/18/2018,Hacking/IT Incident,Network Server
Hancock County Board of Developmental Disabilities,OH,Healthcare Provider,607,5/17/2018,Unauthorized Access/Disclosure,Paper/Films
"LifeBridge Health, Inc",MD,Healthcare Provider,538127,5/15/2018,Hacking/IT Incident,Network Server
"OrthoWest, Ltd.",OH,Healthcare Provider,2300,5/14/2018,Unauthorized Access/Disclosure,Network Server
"Capitol Administrators, Inc",CA,Business Associate,1733,5/11/2018,Hacking/IT Incident,Email
Cambridge Dental Consulting Group,NV,Business Associate,3758,5/9/2018,Unauthorized Access/Disclosure,Other
Boys Town National Research Hospital,NE,,2182,5/9/2018,Hacking/IT Incident,Email
"USACS Management Group, Ltd.",OH,Business Associate,15552,5/8/2018,Hacking/IT Incident,Email
"The Oregon Clinic, P.C. (“The Oregon Clinic”)",OR,Healthcare Provider,64487,5/8/2018,Hacking/IT Incident,Email
"Cerebral Palsy Research Foundation of Kansas, Inc.",KS,Healthcare Provider,8300,5/8/2018,Unauthorized Access/Disclosure,Network Server
Baptist Health,AR,Healthcare Provider,3453,5/7/2018,Unauthorized Access/Disclosure,Network Server
"Baystate Family Dental, Inc.",MA,Healthcare Provider,500,5/4/2018,Theft,Paper/Films
Florida Hospital ,FL,Healthcare Provider,12724,5/3/2018,Hacking/IT Incident,Network Server
"Worldwide Insurance Services, LLC",PA,Business Associate,1692,4/30/2018,Hacking/IT Incident,Email
"Complete Family Medicine, LLC",NE,Healthcare Provider,1331,4/30/2018,Theft,"Laptop, Paper/Films"
Medical Center Ophthalmology Associates,TX,Healthcare Provider,3017,4/30/2018,Unauthorized Access/Disclosure,Email
Walgreen Co.,IL,Healthcare Provider,703,4/27/2018,Theft,Paper/Films
"Knoxville Heart Group, Inc.",TN,Healthcare Provider,15995,4/27/2018,Hacking/IT Incident,Email
MedWatch LLC,FL,Business Associate,40621,4/27/2018,Unauthorized Access/Disclosure,Network Server
"Eye Care Surgery Center, Inc. ",LA,Healthcare Provider,2553,4/27/2018,Theft,Laptop
"Tiger Vision, LLC",LA,Healthcare Provider,2553,4/27/2018,Theft,Laptop
"Carolina Digestive Health Associates, PA",NC,Healthcare Provider,10988,4/26/2018,Unauthorized Access/Disclosure,Desktop Computer
CareFirst BlueCross BlueShield,MD,Health Plan,6200,4/26/2018,Hacking/IT Incident,Email
Illinois Department of Healthcare and Family Services,IL,Health Plan,8000,4/26/2018,Unauthorized Access/Disclosure,Paper/Films
Scenic Bluffs Health Center Inc,WI,Healthcare Provider,2889,4/24/2018,Hacking/IT Incident,Email
Riverside Medical Center,IL,Healthcare Provider,501,4/20/2018,Theft,"Desktop Computer, Other"
Capital District Physicians’ Health Plan,NY,Health Plan,839,4/20/2018,Unauthorized Access/Disclosure,Paper/Films
Michael Gruber DMD PA,NJ,Healthcare Provider,4624,4/20/2018,Hacking/IT Incident,"Desktop Computer, Email, Network Server"
Center for Orthopaedic Specialists - Providence Medical Institute (PMI),CA,Healthcare Provider,81550,4/18/2018,Hacking/IT Incident,Network Server
Kansas Department for Aging and Disability Services,KS,Healthcare Provider,11000,4/17/2018,Unauthorized Access/Disclosure,Desktop Computer
Iowa Health System d/b/a UnityPoint Health,IA,Business Associate,16429,4/16/2018,Hacking/IT Incident,Email
"Athens Heart Center, P.C.",GA,Healthcare Provider,12158,4/16/2018,Hacking/IT Incident,Electronic Medical Record
Cornerstone Foot & Ankle,NJ,Healthcare Provider,533,4/16/2018,Unauthorized Access/Disclosure,Email
"ATI Holdings, LLC and its subsidiaries",IL,Business Associate,1776,4/13/2018,Hacking/IT Incident,Email
"MorshedEye, PLLC",KY,Healthcare Provider,1100,4/13/2018,Unauthorized Access/Disclosure,Email
"Polk County Health Services, Inc",IA,Health Plan,1071,4/12/2018,Unauthorized Access/Disclosure,Email
Atchison Hospital Association,KS,Healthcare Provider,667,4/11/2018,Hacking/IT Incident,Network Server
Henry Ford Health System,MI,Healthcare Provider,1658,4/10/2018,Loss,Other Portable Electronic Device
"ViaTech Publishing Solutions, Inc.",MN,Health Plan,896,4/10/2018,Unauthorized Access/Disclosure,Paper/Films
"ViaTech Publishing Solutions, Inc.",MN,Health Plan,2431,4/10/2018,Unauthorized Access/Disclosure,Paper/Films
Integrated Rehab Consultants,IL,Healthcare Provider,4292,4/9/2018,Unauthorized Access/Disclosure,Network Server
CA Department of Developmental Services,CA,Health Plan,582174,4/6/2018,Theft,Paper/Films
Walgreen Co.,IL,Healthcare Provider,910,4/6/2018,Theft,Other
"Diagnostic Radiology & Imaging, LLC",NC,Healthcare Provider,800,4/5/2018,Hacking/IT Incident,Email
Wisconsin Department of Health Services,WI,Health Plan,779,4/3/2018,Theft,Laptop
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,11552,4/2/2018,Unauthorized Access/Disclosure,Paper/Films
QUALITY-CARE PHARMACY,CA,Healthcare Provider,2000,4/2/2018,Theft,"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films"
"Sonoma County Indian Health Project, Inc",CA,Healthcare Provider,662,3/30/2018,Unauthorized Access/Disclosure,"Desktop Computer, Email"
Guardian Pharmacy of Jacksonville,FL,Healthcare Provider,11521,3/30/2018,Hacking/IT Incident,Email
Children’s National Medical Center ,DC,Healthcare Provider,722,3/30/2018,Theft,Laptop
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",CA,Healthcare Provider,2640,3/30/2018,Theft,Laptop
NYC Health + Hospitals/Harlem,NY,Healthcare Provider,595,3/29/2018,Theft,Laptop
Cambridge Health Alliance,MA,Healthcare Provider,2280,3/28/2018,Hacking/IT Incident,Other
Walmart Inc.,AR,Healthcare Provider,741,3/26/2018,Unauthorized Access/Disclosure,"Email, Other"
City of Houston Medical Plan,TX,Health Plan,34637,3/22/2018,Theft,Laptop
"National Mentor Healthcare, LLC.",MA,Healthcare Provider,1015,3/21/2018,Loss,Other Portable Electronic Device
"Mentor ABI, LLC",MA,Healthcare Provider,994,3/21/2018,Loss,Other Portable Electronic Device
"Center for Comprehensive Services, Inc.",MA,Healthcare Provider,1176,3/21/2018,Loss,Other Portable Electronic Device
"CareMeridian, LLC",MA,Healthcare Provider,1922,3/21/2018,Loss,Other Portable Electronic Device
"Primary Health Care, Inc.",IA,Healthcare Provider,10313,3/16/2018,Hacking/IT Incident,Email
UnitedHealth Group Single Affiliated Covered Entity ,MN,Health Plan,1755,3/15/2018,Unauthorized Access/Disclosure,Paper/Films
"ATI Holdings, LLC and its subsidiaries ",IL,Healthcare Provider,35136,3/12/2018,Hacking/IT Incident,Email
Barnes-Jewish St. Peters Hospital,MO,Healthcare Provider,15046,3/12/2018,Unauthorized Access/Disclosure,Network Server
Barnes-Jewish Hospital,MO,Healthcare Provider,18436,3/12/2018,Unauthorized Access/Disclosure,Network Server
"Front Range Dermatology Associates, P.C.",CO,Healthcare Provider,1070,3/7/2018,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Laptop"
John J. Pershing VA Medical Center,MO,Healthcare Provider,1843,3/7/2018,Unauthorized Access/Disclosure,Paper/Films
"Esther V. Rettig, M.D., P.A.",KS,Healthcare Provider,13500,3/1/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
Florida Agency Persons for Disabilities,FL,Health Plan,63627,3/1/2018,Hacking/IT Incident,Email
Memorial Hospital at Gulfport,MS,Healthcare Provider,1512,2/28/2018,Unauthorized Access/Disclosure,Email
St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center,NY,Healthcare Provider,134512,2/28/2018,Hacking/IT Incident,Network Server
"Union Lake Supermarket, LLC",NJ,Healthcare Provider,9956,2/28/2018,Improper Disposal,Other Portable Electronic Device
Artesia General Hospital,NM,Healthcare Provider,864,2/27/2018,Hacking/IT Incident,Network Server
FastHealth Corporation,AL,Business Associate,1345,2/27/2018,Hacking/IT Incident,Network Server
Rhode Island Executive Office of Health and Human Services,RI,Health Plan,1100,2/27/2018,Unauthorized Access/Disclosure,Paper/Films
California College of Arts,CA,Health Plan,623,2/26/2018,Theft,Laptop
"QuadMed, LLC (Hillenbrand)",WI,Healthcare Provider,2471,2/26/2018,Unauthorized Access/Disclosure,Electronic Medical Record
"QuadMed, LLC (Stoughton Trailers)",WI,Healthcare Provider,2834,2/26/2018,Unauthorized Access/Disclosure,Electronic Medical Record
Center for Sports Medicine and Orthopedics ,TN,Healthcare Provider,800,2/26/2018,Unauthorized Access/Disclosure,Paper/Films
"Walmart, Inc.",AR,Healthcare Provider,735,2/22/2018,Unauthorized Access/Disclosure,Electronic Medical Record
Flexible Benefit Service Corporation,IL,Business Associate,5123,2/16/2018,Hacking/IT Incident,Email
"Partners HealthCare System, Inc.",MA,Healthcare Provider,2450,2/5/2018,Hacking/IT Incident,"Desktop Computer, Network Server"
City of Detroit,MI,Healthcare Provider,544,2/5/2018,Loss,Other Portable Electronic Device
Eastern Maine Medical Center,ME,Healthcare Provider,660,2/2/2018,Theft,Other Portable Electronic Device
"Triple-S Advantage, Inc. ",,Health Plan,36305,2/2/2018,Unauthorized Access/Disclosure,Paper/Films
"Coastal Cape Fear Eye Associates, P.A.",NC,Healthcare Provider,925,2/1/2018,Hacking/IT Incident,"Desktop Computer, Network Server"
Children's Mercy Hospital,MO,Healthcare Provider,63049,1/31/2018,Hacking/IT Incident,Email
"QuadMed, LLC (Whirlpool)",WI,Healthcare Provider,4549,1/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record
Decatur County General Hospital,TN,Healthcare Provider,24000,1/26/2018,Hacking/IT Incident,Network Server
"Rocky Mountain Women's Health Center, Inc.",UT,Healthcare Provider,1123,1/25/2018,Improper Disposal,Paper/Films
"Zachary E. Adkins, DDS",NM,Healthcare Provider,3677,1/25/2018,Theft,Other Portable Electronic Device
Gillette Medical Imaging,WY,Healthcare Provider,4476,1/18/2018,Unauthorized Access/Disclosure,Paper/Films
High Plains Surgical Associates,WY,Healthcare Provider,607,1/15/2018,Unauthorized Access/Disclosure,Paper/Films
Western Washington Medical Group Inc.,WA,Healthcare Provider,842,1/12/2018,Improper Disposal,Paper/Films
Onco360 and CareMed Specialty Pharmacy ,KY,Healthcare Provider,53173,1/12/2018,Hacking/IT Incident,Email
Alicia Ann Oswald,CA,Healthcare Provider,800,1/9/2018,Unauthorized Access/Disclosure,Email
